Region,Codigo region,Comuna,Codigo comuna,Poblacion,Fecha,Casos confirmados
Arica y Parinacota,15,Arica,15101,247552.0,2020-03-30,6.0
Tarapacá,01,Alto Hospicio,01107,129999.0,2020-03-30,0.0
Tarapacá,01,Iquique,01101,223463.0,2020-03-30,5.0
Antofagasta,02,Antofagasta,02101,425725.0,2020-03-30,29.0
Antofagasta,02,Calama,02201,190336.0,2020-03-30,0.0
Antofagasta,02,Tocopilla,02301,28079.0,2020-03-30,0.0
Atacama,03,Copiapo,03101,171766.0,2020-03-30,0.0
Coquimbo,04,Monte Patria,04303,32527.0,2020-03-30,0.0
Atacama,03,Vallenar,03301,57009.0,2020-03-30,0.0
Coquimbo,04,Coquimbo,04102,256735.0,2020-03-30,17.0
Coquimbo,04,Illapel,04201,32801.0,2020-03-30,0.0
Coquimbo,04,La Serena,04101,249656.0,2020-03-30,0.0
Coquimbo,04,Los Vilos,04203,23374.0,2020-03-30,0.0
Coquimbo,04,Ovalle,04301,121269.0,2020-03-30,4.0
Coquimbo,04,Salamanca,04204,29110.0,2020-03-30,0.0
Coquimbo,04,Vicuna,04106,29741.0,2020-03-30,0.0
Valparaíso,05,Cabildo,05402,20663.0,2020-03-30,0.0
Valparaíso,05,Calera,05502,53591.0,2020-03-30,6.0
Valparaíso,05,Cartagena,05603,25357.0,2020-03-30,0.0
Valparaíso,05,Casablanca,05102,29170.0,2020-03-30,0.0
Valparaíso,05,La Cruz,05504,25321.0,2020-03-30,0.0
Valparaíso,05,Concon,05103,45889.0,2020-03-30,0.0
Valparaíso,05,Quillota,05501,97572.0,2020-03-30,6.0
Valparaíso,05,La Ligua,05401,37739.0,2020-03-30,0.0
Valparaíso,05,Limache,05802,49931.0,2020-03-30,0.0
Valparaíso,05,Llaillay,05703,26533.0,2020-03-30,0.0
Valparaíso,05,Los Andes,05301,68093.0,2020-03-30,0.0
Valparaíso,05,Nogales,05506,23490.0,2020-03-30,0.0
Valparaíso,05,Puchuncavi,05105,20071.0,2020-03-30,0.0
Valparaíso,05,San Felipe,05701,83494.0,2020-03-30,0.0
Valparaíso,05,Quilpue,05801,167085.0,2020-03-30,11.0
Valparaíso,05,Quintero,05107,36135.0,2020-03-30,0.0
Valparaíso,05,San Antonio,05601,96761.0,2020-03-30,0.0
Valparaíso,05,San Esteban,05304,20643.0,2020-03-30,0.0
Metropolitana,13,Buin,13402,109641.0,2020-03-30,7.0
Valparaíso,05,Valparaiso,05101,315732.0,2020-03-30,16.0
Valparaíso,05,Villa Alemana,05804,139310.0,2020-03-30,6.0
Valparaíso,05,Vina del Mar,05109,361371.0,2020-03-30,29.0
Metropolitana,13,La Florida,13110,402433.0,2020-03-30,43.0
Metropolitana,13,Calera de Tango,13403,28525.0,2020-03-30,6.0
Metropolitana,13,Cerrillos,13102,88956.0,2020-03-30,0.0
Metropolitana,13,Cerro Navia,13103,142465.0,2020-03-30,19.0
Metropolitana,13,Colina,13301,180353.0,2020-03-30,32.0
Metropolitana,13,Conchali,13104,139195.0,2020-03-30,14.0
Metropolitana,13,Curacavi,13503,36430.0,2020-03-30,5.0
Metropolitana,13,El Bosque,13105,172000.0,2020-03-30,18.0
Metropolitana,13,El Monte,13602,40014.0,2020-03-30,0.0
Metropolitana,13,Estacion Central,13106,206792.0,2020-03-30,16.0
Metropolitana,13,Huechuraba,13107,112528.0,2020-03-30,17.0
Metropolitana,13,Independencia,13108,142065.0,2020-03-30,15.0
Metropolitana,13,Isla de Maipo,13603,40171.0,2020-03-30,0.0
Metropolitana,13,La Cisterna,13109,100434.0,2020-03-30,10.0
Metropolitana,13,Macul,13118,134635.0,2020-03-30,10.0
Metropolitana,13,La Granja,13111,122557.0,2020-03-30,5.0
Metropolitana,13,La Pintana,13112,189335.0,2020-03-30,0.0
Metropolitana,13,La Reina,13113,100252.0,2020-03-30,24.0
Metropolitana,13,Lampa,13302,126898.0,2020-03-30,10.0
Metropolitana,13,Las Condes,13114,330759.0,2020-03-30,181.0
Metropolitana,13,Lo Barnechea,13115,124076.0,2020-03-30,68.0
Metropolitana,13,Lo Espejo,13116,103865.0,2020-03-30,4.0
Metropolitana,13,Lo Prado,13117,104403.0,2020-03-30,14.0
